id,loanAmnt,term,interestRate,installment,grade,employmentTitle,employmentLength,homeOwnership,annualIncome,verificationStatus,y
0,35000,5,19.52,917.97,5,320.0,2.0,2,110000.0,2,1
1,18000,5,18.49,461.9,4,219843.0,5.0,0,46000.0,2,0
2,12000,5,16.99,298.17,4,31698.0,8.0,0,74000.0,2,0
3,11000,3,7.26,340.96,1,46854.0,10.0,1,118000.0,1,0
4,3000,3,12.99,101.07,3,54.0,0.0,1,29000.0,2,0
5,11000,3,7.99,344.65,1,51727.0,7.0,0,39000.0,2,0
6,2050,3,7.69,63.95,1,180083.0,9.0,0,35000.0,0,0
7,11500,3,14.98,398.54,3,214017.0,1.0,1,30000.0,2,0
8,12000,3,12.99,404.27,3,188.0,5.0,2,60000.0,1,1
9,6500,3,10.99,212.78,2,54.0,0.0,1,15300.0,2,0
10,5600,3,13.67,190.5,2,46631.0,10.0,1,38000.0,0,0
11,5000,3,27.27,204.86,5,140759.0,3.0,0,95000.0,0,0
12,19200,3,20.0,713.55,4,139297.0,2.0,1,88000.0,0,0
13,24000,3,9.99,774.3,2,4967.0,10.0,0,150000.0,1,0
14,16000,3,7.91,500.72,1,11037.0,2.0,1,50000.0,0,0
15,6000,3,10.49,194.99,2,251530.0,2.0,0,77000.0,1,0
16,10375,5,15.61,250.16,4,199961.0,9.0,0,58000.0,0,0
17,5500,3,10.99,180.04,2,81579.0,0.0,1,50000.0,1,1
18,6000,3,21.0,226.06,5,323019.0,10.0,1,40000.0,0,1
19,20000,5,21.0,541.07,5,258238.0,9.0,1,90000.0,2,0
20,15500,5,15.99,376.85,3,369690.0,4.0,0,77000.0,0,0
21,3000,3,12.29,100.06,3,21088.0,0.0,1,60000.0,2,0
22,13025,3,17.57,468.09,4,44497.0,1.0,0,60000.0,1,0
23,20000,3,14.08,684.33,3,386.0,4.0,1,47500.0,1,1
24,18000,5,7.39,359.75,1,8893.0,10.0,0,75000.0,1,0
25,15000,3,6.07,456.81,1,148.0,1.0,0,80000.0,0,0
26,15000,3,14.09,513.33,2,219198.0,5.0,0,40000.0,1,0
27,5000,3,12.69,167.73,3,4234.0,7.0,1,60000.0,1,0
28,8425,3,8.59,266.31,1,2780.0,10.0,0,40000.0,0,0
29,6350,3,15.8,222.63,3,334998.0,0.0,0,63500.0,1,0
30,10000,3,14.59,344.65,4,241561.0,4.0,1,40000.0,0,0
31,25000,3,12.74,839.23,3,10407.0,7.0,0,105000.0,0,1
32,10000,3,15.59,349.55,4,132.0,5.0,2,30000.0,1,0
33,8000,3,12.79,268.75,3,49.0,10.0,0,50230.0,2,0
34,8000,3,7.21,247.79,1,64986.0,2.0,1,48000.0,0,0
35,18000,3,7.49,559.83,1,3023.0,8.0,0,68000.0,0,0
36,35000,5,22.7,980.65,5,240649.0,3.0,1,130000.0,2,1
37,10675,5,13.98,248.28,3,32.0,3.0,1,57350.0,1,0
38,15000,5,19.24,391.1,5,104837.0,8.0,0,52000.0,1,1
39,10000,3,7.89,312.86,1,95.0,8.0,1,75000.0,0,0
40,18000,3,8.49,568.14,2,62.0,10.0,1,250000.0,0,0
41,20000,3,16.55,708.59,4,4462.0,2.0,0,63800.0,2,0
42,13000,5,13.35,298.13,3,81832.0,10.0,1,52000.0,1,1
