id,purpose,postCode,regionCode,dti,delinquency_2s,ficoRangeLow,ficoRangeHigh,openAcc,pubRec,pubRecBankruptcies,revolBal,revolUtil,totalAcc,initialListStatus,applicationType,CreditLine
0,1,137.0,32,17.05,0,730,734,7,0,0.0,24178,48.9,27,0,0,4650
1,0,156.0,18,27.83,0,700,704,13,0,0.0,15096,38.9,18,1,0,3690
2,0,337.0,14,22.77,0,675,679,11,0,0.0,4606,51.8,27,0,0,3390
3,4,148.0,11,17.21,0,685,689,9,0,0.0,9948,52.6,28,1,0,5850
4,10,301.0,21,32.16,0,690,694,12,0,0.0,2942,32.0,27,0,0,13890
5,9,512.0,21,17.14,0,730,734,19,0,0.0,4047,31.1,52,1,0,6750
6,0,517.0,14,17.49,0,755,759,12,0,0.0,3111,8.5,23,0,0,2880
7,0,100.0,4,32.6,0,665,669,8,1,1.0,14021,59.7,33,1,0,6870
8,0,792.0,13,19.22,0,690,694,15,0,0.0,27176,46.0,21,1,0,7950
9,0,59.0,11,24.39,0,725,729,7,0,0.0,2936,30.6,63,0,0,8220
10,4,134.0,8,14.21,0,665,669,13,0,0.0,8653,47.5,15,0,0,6120
11,0,893.0,49,34.63,0,710,714,10,0,0.0,16343,80.9,38,0,0,4080
12,0,195.0,38,7.58,0,680,684,12,0,0.0,18866,35.7,14,1,0,1170
13,2,134.0,8,5.68,0,690,694,7,0,0.0,4334,68.8,25,0,0,11460
14,4,167.0,8,38.95,0,710,714,9,0,0.0,19023,60.8,11,0,0,1680
15,2,194.0,38,17.27,0,660,664,16,1,1.0,220,3.6,49,0,0,7320
16,2,492.0,36,21.02,0,705,709,16,0,0.0,36609,61.1,33,0,0,4380
17,4,56.0,8,17.14,0,695,699,5,0,0.0,5463,76.9,10,1,0,7170
18,3,140.0,8,28.95,3,660,664,6,0,0.0,6804,84.0,29,0,0,4080
19,0,305.0,15,15.55,0,700,704,10,0,0.0,22859,57.0,38,1,0,5100
20,4,570.0,43,27.42,0,660,664,23,1,1.0,19752,72.4,57,0,0,4530
21,0,265.0,7,17.1,0,670,674,15,0,0.0,2681,4.9,29,1,0,7020
22,0,463.0,48,9.98,0,660,664,6,1,1.0,4330,57.0,31,0,0,13620
23,9,226.0,21,24.36,0,665,669,7,0,0.0,19497,53.1,19,0,0,6420
24,0,186.0,9,16.97,2,680,684,12,0,0.0,7648,25.9,35,1,0,5940
25,2,48.0,10,20.12,0,715,719,8,0,0.0,51551,61.0,24,0,1,8040
26,4,66.0,14,20.1,0,695,699,6,0,0.0,13950,90.6,11,1,0,6150
27,7,74.0,30,16.74,0,695,699,10,0,0.0,11030,58.4,14,0,0,2730
28,0,245.0,26,12.57,2,665,669,17,1,1.0,7993,33.9,23,0,0,5880
29,8,74.0,30,0.94,0,675,679,8,1,0.0,1125,9.3,19,1,0,4230
30,0,56.0,8,24.15,0,675,679,8,0,0.0,22778,87.6,30,1,0,5160
31,0,290.0,8,26.77,0,670,674,29,0,0.0,41182,56.7,52,0,0,7170
32,0,413.0,37,20.2,0,685,689,7,0,0.0,6772,41.3,17,1,0,2700
33,4,47.0,17,17.35,0,665,669,21,0,0.0,28884,78.7,52,1,0,3870
34,0,540.0,13,23.79,0,730,734,17,0,0.0,16276,29.3,30,0,0,8370
35,0,135.0,33,23.88,0,760,764,10,0,0.0,2349,8.0,32,0,0,4650
36,0,74.0,30,9.31,0,680,684,10,0,0.0,21322,54.7,27,1,0,9390
37,0,115.0,8,16.57,0,750,754,6,0,0.0,5578,23.0,12,0,0,10080
38,0,73.0,23,5.47,0,660,664,4,0,0.0,7017,92.3,15,0,0,5130
39,0,368.0,3,13.3,0,685,689,12,0,0.0,10083,48.7,21,0,0,3630
40,4,17.0,13,7.37,0,750,754,6,0,0.0,25874,76.1,11,0,0,6750
41,0,231.0,43,33.69,5,675,679,13,0,0.0,15238,93.0,24,1,0,8250
42,4,524.0,20,18.44,0,705,709,7,0,0.0,17703,38.8,13,1,0,3690
43,0,616.0,0,13.64,1,665,669,10,1,0.0,14847,58.9,25,1,0,6240
44,2,456.0,21,7.39,0,730,734,4,0,0.0,1147,11.7,7,0,0,1350
45,0,414.0,0,15.63,0,675,679,8,0,0.0,2327,58.2,16,1,0,3480
46,0,195.0,38,36.99,1,685,689,21,0,0.0,21005,44.5,31,1,0,8460
47,0,398.0,2,13.12,0,730,734,9,0,0.0,16405,41.3,11,0,0,6240
48,0,480.0,8,7.44,2,665,669,7,0,0.0,2205,73.5,22,1,0,3750
49,4,368.0,3,21.71,0,735,739,14,0,0.0,21842,63.9,26,0,0,10140
50,0,129.0,30,12.76,0,660,664,18,1,1.0,2069,10.9,45,0,0,2880
51,0,588.0,4,16.32,0,685,689,13,4,1.0,7032,66.3,35,1,0,4380
52,0,148.0,11,22.57,0,680,684,19,0,0.0,3723,20.1,23,1,0,2160
53,0,25.0,13,19.57,0,710,714,13,0,0.0,22515,60.5,30,1,0,14820
54,0,34.0,18,22.78,0,795,799,12,0,0.0,7132,21.2,18,1,0,5520
55,0,54.0,28,17.92,0,765,769,54,0,0.0,4416,6.8,78,0,0,5760
56,2,727.0,43,7.09,0,720,724,9,1,1.0,657,11.9,20,0,0,6180
57,4,504.0,11,25.6,0,705,709,10,0,0.0,17080,40.0,37,0,0,3810
58,4,689.0,2,14.07,0,660,664,10,0,0.0,3625,26.3,13,1,0,3060
59,0,17.0,13,3.64,0,660,664,3,0,0.0,0,0.0,7,0,0,4890
60,0,249.0,36,22.47,0,775,779,13,0,0.0,120918,30.5,39,1,0,9120
61,2,48.0,10,17.51,0,730,734,21,1,0.0,32686,47.6,32,0,0,4320
62,0,268.0,8,11.21,0,675,679,10,0,0.0,29526,75.7,14,0,0,3210
63,8,0.0,0,0.19,1,735,739,4,0,0.0,25,0.1,14,1,0,5520
64,5,134.0,8,9.79,1,715,719,19,0,0.0,16966,35.8,52,1,0,6030
65,0,625.0,13,17.74,0,695,699,13,0,0.0,9668,85.6,38,1,0,6750
66,5,431.0,20,35.45,0,695,699,17,0,0.0,11088,49.9,39,1,0,5520
